time,rpm
5.000000,0.760000
10.000000,3.790000
15.000000,9.850000
20.000000,17.420000
25.000000,28.030000
30.000000,39.390000
35.000000,52.270000
40.000000,66.670000
45.000000,81.820000
50.000000,95.450000
55.000000,106.820000
60.000000,117.420000
65.000000,125.760000
70.000000,134.090000
75.000000,141.670000
80.000000,147.730000
85.000000,153.030000
90.000000,159.090000
95.000000,162.880000
100.000000,167.420000
105.000000,171.210000
110.000000,174.240000
115.000000,177.270000
120.000000,180.300000
125.000000,183.330000
130.000000,184.090000
135.000000,187.120000
140.000000,188.640000
145.000000,190.910000
150.000000,192.420000
155.000000,193.940000
160.000000,195.450000
165.000000,196.210000
170.000000,197.730000
175.000000,199.240000
180.000000,200.760000
185.000000,201.520000
190.000000,203.030000
195.000000,203.030000
200.000000,204.550000
205.000000,205.300000
210.000000,206.060000
215.000000,206.060000
220.000000,206.820000
225.000000,207.580000
230.000000,207.580000
235.000000,209.090000
240.000000,209.090000
245.000000,209.090000
250.000000,210.610000
255.000000,210.610000
260.000000,211.360000
265.000000,210.610000
270.000000,212.120000
275.000000,212.120000
280.000000,212.120000
285.000000,212.880000
290.000000,212.120000
295.000000,213.640000
300.000000,212.880000
305.000000,213.640000
310.000000,213.640000
315.000000,213.640000
320.000000,213.640000
325.000000,214.390000
330.000000,214.390000
335.000000,213.640000
340.000000,214.390000
345.000000,215.150000
350.000000,214.390000
355.000000,214.390000
360.000000,215.150000
365.000000,215.150000
370.000000,215.150000
375.000000,215.910000
380.000000,215.150000
385.000000,215.150000
390.000000,215.910000
395.000000,216.670000
400.000000,215.910000
405.000000,215.150000
410.000000,215.910000
415.000000,215.910000
420.000000,216.670000
425.000000,215.910000
430.000000,215.910000
435.000000,215.150000
440.000000,215.910000
445.000000,216.670000
450.000000,216.670000
455.000000,216.670000
460.000000,215.910000
465.000000,216.670000
470.000000,215.910000
475.000000,216.670000
480.000000,216.670000
485.000000,216.670000
490.000000,216.670000
495.000000,216.670000
500.000000,216.670000
505.000000,216.670000
510.000000,217.420000
515.000000,216.670000
520.000000,216.670000
525.000000,216.670000
530.000000,216.670000
535.000000,216.670000
540.000000,217.420000
545.000000,216.670000
550.000000,216.670000
555.000000,217.420000
560.000000,216.670000
565.000000,216.670000
570.000000,216.670000
575.000000,216.670000
580.000000,216.670000
585.000000,217.420000
590.000000,217.420000
595.000000,216.670000
600.000000,217.420000
605.000000,217.420000
610.000000,217.420000
615.000000,216.670000
620.000000,216.670000
625.000000,216.670000
630.000000,216.670000
635.000000,217.420000
640.000000,217.420000
645.000000,217.420000
650.000000,217.420000
655.000000,217.420000
660.000000,217.420000
665.000000,217.420000
670.000000,217.420000
675.000000,217.420000
680.000000,216.670000
685.000000,216.670000
690.000000,216.670000
695.000000,217.420000
700.000000,217.420000
705.000000,217.420000
710.000000,217.420000
715.000000,217.420000
720.000000,218.180000
725.000000,217.420000
730.000000,217.420000
735.000000,217.420000
740.000000,217.420000
745.000000,217.420000
750.000000,216.670000
755.000000,216.670000
760.000000,216.670000
765.000000,217.420000
770.000000,217.420000
775.000000,217.420000
780.000000,217.420000
785.000000,217.420000
790.000000,218.180000
795.000000,218.180000
800.000000,218.180000
805.000000,218.180000
810.000000,217.420000
815.000000,217.420000
820.000000,217.420000
825.000000,217.420000
830.000000,217.420000
835.000000,217.420000
840.000000,216.670000
845.000000,216.670000
850.000000,217.420000
855.000000,217.420000
860.000000,217.420000
865.000000,217.420000
870.000000,217.420000
875.000000,217.420000
880.000000,218.180000
885.000000,218.180000
890.000000,218.180000
895.000000,218.180000
900.000000,218.180000
905.000000,218.180000
910.000000,218.180000
915.000000,217.420000
920.000000,217.420000
925.000000,217.420000
930.000000,217.420000
935.000000,217.420000
940.000000,217.420000
945.000000,217.420000
950.000000,217.420000
955.000000,218.180000
960.000000,218.180000
965.000000,218.180000
970.000000,218.180000
975.000000,217.420000
980.000000,217.420000
985.000000,217.420000
990.000000,217.420000
995.000000,217.420000
1000.000000,217.420000
1005.000000,217.420000
1010.000000,217.420000
1015.000000,218.180000
1020.000000,218.180000
1025.000000,218.180000
1030.000000,218.180000
1035.000000,218.180000
1040.000000,218.180000
1045.000000,218.180000
1050.000000,218.180000
1055.000000,218.180000
1060.000000,218.180000
1065.000000,218.180000
1070.000000,218.180000
1075.000000,218.180000
1080.000000,218.180000
1085.000000,218.180000
1090.000000,218.180000
1095.000000,218.180000
1100.000000,218.180000
1105.000000,218.180000
1110.000000,218.180000
1115.000000,218.180000
1120.000000,218.180000
1125.000000,218.180000
1130.000000,218.180000
1135.000000,218.180000
1140.000000,218.180000
1145.000000,218.180000
1150.000000,218.180000
1155.000000,218.180000
1160.000000,218.180000
1165.000000,218.180000
1170.000000,218.180000
1175.000000,218.180000
1180.000000,218.180000
1185.000000,218.180000
1190.000000,218.180000
1195.000000,218.180000
1200.000000,218.180000
1205.000000,217.420000
1210.000000,218.180000
1215.000000,218.180000
1220.000000,218.180000
1225.000000,218.180000
1230.000000,217.420000
1235.000000,217.420000
1240.000000,217.420000
1245.000000,218.940000
1250.000000,218.180000
1255.000000,218.180000
1260.000000,217.420000
1265.000000,218.180000
1270.000000,218.940000
1275.000000,218.940000
1280.000000,218.940000
1285.000000,218.180000
1290.000000,218.180000
1295.000000,218.180000
1300.000000,218.940000
1305.000000,218.180000
1310.000000,218.180000
1315.000000,218.180000
1320.000000,218.180000
1325.000000,218.180000
1330.000000,218.180000
1335.000000,218.180000
1340.000000,218.180000
1345.000000,218.180000
1350.000000,218.180000
1355.000000,218.180000
1360.000000,218.180000
1365.000000,218.180000
1370.000000,218.180000
1375.000000,218.180000
1380.000000,218.180000
1385.000000,218.180000
1390.000000,218.180000
1395.000000,218.180000
1400.000000,218.180000
1405.000000,218.180000
1410.000000,218.180000
1415.000000,218.180000
1420.000000,218.180000
1425.000000,218.180000
1430.000000,218.180000
1435.000000,218.180000
1440.000000,218.180000
1445.000000,218.180000
1450.000000,218.180000
1455.000000,218.180000
1460.000000,218.180000
1465.000000,218.940000
1470.000000,218.940000
1475.000000,218.940000
1480.000000,218.940000
1485.000000,218.940000
1490.000000,218.940000
1495.000000,218.940000
1500.000000,218.940000
1505.000000,218.180000
1510.000000,218.180000
1515.000000,218.940000
1520.000000,218.940000
1525.000000,218.940000
1530.000000,218.940000
1535.000000,218.940000
1540.000000,218.940000
1545.000000,218.940000
1550.000000,218.940000
1555.000000,218.180000
1560.000000,218.180000
1565.000000,218.180000
1570.000000,218.180000
1575.000000,218.180000
1580.000000,218.180000
1585.000000,218.180000
1590.000000,218.180000
1595.000000,218.180000
1600.000000,218.180000
1605.000000,218.180000
1610.000000,218.180000
1615.000000,218.180000
1620.000000,218.180000
1625.000000,218.940000
1630.000000,218.940000
1635.000000,218.940000
1640.000000,218.940000
1645.000000,218.940000
1650.000000,218.940000
1655.000000,218.940000
1660.000000,218.940000
1665.000000,218.180000
1670.000000,218.180000
1675.000000,218.180000
1680.000000,218.940000
1685.000000,218.940000
1690.000000,218.940000
1695.000000,218.940000
1700.000000,218.940000
1705.000000,218.940000
1710.000000,218.940000
1715.000000,218.940000
1720.000000,218.180000
1725.000000,218.180000
1730.000000,218.180000
1735.000000,218.180000
1740.000000,218.180000
1745.000000,218.180000
1750.000000,218.180000
1755.000000,218.180000
1760.000000,218.180000
1765.000000,218.940000
1770.000000,218.940000
1775.000000,218.940000
1780.000000,218.940000
1785.000000,218.940000
1790.000000,218.940000
1795.000000,218.940000
1800.000000,219.700000
1805.000000,218.940000
1810.000000,218.940000
1815.000000,218.940000
1820.000000,218.940000
1825.000000,218.940000
1830.000000,218.940000
1835.000000,218.940000
1840.000000,218.180000
1845.000000,218.180000
1850.000000,218.180000
1855.000000,218.180000
1860.000000,218.180000
1865.000000,218.180000
1870.000000,218.180000
1875.000000,218.180000
1880.000000,218.180000
1885.000000,218.940000
1890.000000,218.940000
1895.000000,218.940000
1900.000000,218.940000
1905.000000,218.940000
1910.000000,218.940000
1915.000000,219.700000
1920.000000,219.700000
1925.000000,218.940000
1930.000000,218.940000
1935.000000,218.940000
1940.000000,218.940000
1945.000000,218.940000
1950.000000,218.940000
1955.000000,218.180000
1960.000000,218.180000
1965.000000,218.180000
1970.000000,218.180000
1975.000000,218.180000
1980.000000,218.940000
1985.000000,218.940000
1990.000000,218.940000
1995.000000,218.940000
2000.000000,218.940000
2005.000000,219.700000
2010.000000,219.700000
2015.000000,219.700000
2020.000000,218.940000
2025.000000,218.940000
2030.000000,218.940000
2035.000000,218.940000
2040.000000,218.940000
2045.000000,218.180000
2050.000000,218.180000
2055.000000,218.180000
2060.000000,218.180000
2065.000000,218.940000
2070.000000,218.940000
2075.000000,218.940000
2080.000000,218.940000
2085.000000,218.940000
2090.000000,218.940000
2095.000000,219.700000
2100.000000,219.700000
2105.000000,218.940000
2110.000000,218.940000
2115.000000,218.940000
2120.000000,218.940000
2125.000000,218.940000
2130.000000,218.940000
2135.000000,218.180000
2140.000000,218.180000
2145.000000,218.180000
2150.000000,218.180000
2155.000000,218.940000
2160.000000,218.940000
2165.000000,218.940000
2170.000000,218.940000
2175.000000,218.940000
2180.000000,218.940000
2185.000000,219.700000
2190.000000,219.700000
2195.000000,218.940000
2200.000000,218.940000
2205.000000,218.940000
2210.000000,218.940000
2215.000000,218.940000
2220.000000,218.940000
2225.000000,218.180000
2230.000000,218.180000
2235.000000,218.180000
2240.000000,218.180000
2245.000000,218.180000
2250.000000,218.180000
2255.000000,218.940000
2260.000000,218.940000
2265.000000,218.940000
2270.000000,218.940000
2275.000000,218.940000
2280.000000,218.940000
2285.000000,219.700000
2290.000000,219.700000
2295.000000,218.940000
2300.000000,218.940000
2305.000000,218.940000
2310.000000,218.940000
2315.000000,218.940000
2320.000000,218.940000
2325.000000,218.180000
2330.000000,218.180000
2335.000000,218.180000
2340.000000,218.180000
2345.000000,218.940000
2350.000000,218.940000
2355.000000,218.940000
2360.000000,218.940000
2365.000000,218.940000
2370.000000,218.940000
2375.000000,218.940000
2380.000000,219.700000
2385.000000,218.940000
2390.000000,218.940000
2395.000000,218.940000
2400.000000,218.940000
2405.000000,218.940000
2410.000000,218.940000
2415.000000,218.940000
2420.000000,218.180000
2425.000000,218.180000
2430.000000,218.180000
2435.000000,218.180000
2440.000000,218.180000
2445.000000,218.180000
2450.000000,218.940000
2455.000000,218.940000
2460.000000,218.940000
2465.000000,218.940000
2470.000000,218.940000
2475.000000,218.940000
2480.000000,219.700000
2485.000000,219.700000
2490.000000,218.940000
2495.000000,218.940000
2500.000000,218.940000
2505.000000,218.940000
2510.000000,218.940000
2515.000000,218.940000
2520.000000,218.180000
2525.000000,218.180000
2530.000000,218.180000
2535.000000,218.180000
2540.000000,218.940000
2545.000000,218.940000
2550.000000,218.940000
2555.000000,218.940000
2560.000000,218.940000
2565.000000,218.940000
2570.000000,218.940000
2575.000000,219.700000
2580.000000,218.940000
2585.000000,218.940000
2590.000000,218.940000
2595.000000,218.940000
2600.000000,218.940000
2605.000000,218.940000
2610.000000,218.940000
2615.000000,218.180000
2620.000000,218.180000
2625.000000,218.180000
2630.000000,218.940000
2635.000000,218.940000
2640.000000,218.940000
2645.000000,218.940000
2650.000000,218.940000
2655.000000,218.940000
2660.000000,219.700000
2665.000000,219.700000
2670.000000,218.940000
2675.000000,218.940000
2680.000000,218.940000
2685.000000,218.940000
2690.000000,218.940000
2695.000000,218.940000
2700.000000,218.180000
2705.000000,218.180000
2710.000000,218.180000
2715.000000,218.940000
2720.000000,218.940000
2725.000000,218.940000
2730.000000,218.940000
2735.000000,218.940000
2740.000000,219.700000
2745.000000,219.700000
2750.000000,219.700000
2755.000000,218.940000
2760.000000,218.940000
2765.000000,218.940000
2770.000000,218.940000
2775.000000,218.940000
2780.000000,218.180000
2785.000000,218.940000
2790.000000,218.940000
2795.000000,218.940000
2800.000000,218.940000
2805.000000,219.700000
2810.000000,219.700000
2815.000000,219.700000
2820.000000,219.700000
2825.000000,218.940000
2830.000000,218.940000
2835.000000,218.940000
2840.000000,218.940000
2845.000000,218.180000
2850.000000,218.180000
2855.000000,218.180000
2860.000000,218.940000
2865.000000,218.940000
2870.000000,218.940000
2875.000000,218.940000
2880.000000,218.940000
2885.000000,219.700000
2890.000000,219.700000
2895.000000,219.700000
2900.000000,218.940000
2905.000000,218.940000
2910.000000,218.940000
2915.000000,218.940000
2920.000000,218.940000
2925.000000,218.180000
2930.000000,218.180000
2935.000000,218.940000
2940.000000,218.940000
2945.000000,218.940000
2950.000000,218.940000
2955.000000,218.940000
2960.000000,219.700000
2965.000000,219.700000
2970.000000,219.700000
2975.000000,218.940000
2980.000000,218.940000
2985.000000,218.940000
2990.000000,218.940000
2995.000000,218.940000
3000.000000,218.180000
